transaction_type,amount,starting_balance,ending_balance,destination_account,is_fraudulent
DEBIT,3806.051426557852,0.0,-3806.051426557852,,0
PAYMENT,219.3912650611237,39537.91386231007,39757.3051273712,,0
CASH_IN,4175.55850995106,32668.588911490067,36844.14742144113,,0
DEBIT,6826.947464034813,56980.245372561585,50153.29790852677,,0
DEBIT,6075.259805899759,115714.47427363684,109639.21446773708,,0
PAYMENT,5856.372495621152,63903.32035236512,69759.69284798627,,0
CASH_IN,4440.013396251041,104719.20318766977,109159.21658392082,,0
CASH_IN,2441.9385275604272,61375.39390678897,63817.3324343494,,0
DEBIT,6030.588643248935,37402.2752485457,31371.686605296767,,0
CASH_OUT,3331.4363799307503,56958.32156241767,53626.88518248692,7020851,0
DEBIT,9368.193466760913,85612.77198955417,76244.57852279325,,0
DEBIT,6141.014416709032,86591.25192642478,80450.23750971575,,0
DEBIT,3838.703394892098,38493.252639138416,34654.549244246315,,0
DEBIT,3777.2295052227437,55063.67391398598,51286.44440876324,,0
PAYMENT,4814.111586772823,21414.662406577096,26228.773993349918,,0
CASH_IN,4520.996155956501,66493.37249382859,71014.36864978509,,0
PAYMENT,7233.667551059909,81067.09398111788,88300.7615321778,,1
PAYMENT,5372.832339488093,50795.989082320324,56168.82142180842,,0
PAYMENT,3536.736522182944,36652.31891279743,40189.05543498038,,0
DEBIT,8780.881370311565,57202.619025551256,48421.73765523969,,0
CASH_OUT,5098.616663040445,58349.18062726332,53250.56396422287,5818381,0
CASH_IN,6537.679351937793,51622.876636992405,58160.555988930195,,0
CASH_OUT,3783.5469851104817,53574.30248671906,49790.75550160858,6118389,0
PAYMENT,5726.231255489047,46523.70299061258,52249.93424610163,,0
PAYMENT,5622.21998228639,69919.09856452812,75541.31854681451,,0
CASH_OUT,1220.701415807694,64724.54890330254,63503.847487494844,3834175,0
CASH_OUT,9030.55022092128,30337.937057117015,21307.386836195736,6378984,0
CASH_OUT,7581.288921845095,29788.187936828104,22206.89901498301,4578138,0
PAYMENT,4205.609367708024,44912.51165946876,49118.12102717678,,0
PAYMENT,2795.460519088289,64736.74248210358,67532.20300119187,,0
CASH_IN,5695.123227607104,52961.14827781629,58656.27150542339,,0
CASH_IN,5173.395398828793,37136.99179754689,42310.38719637568,,0
PAYMENT,5711.337897126459,55230.3719345166,60941.709831643064,,0
CASH_OUT,5383.154792388179,43383.78960955456,38000.63481716638,2513355,0
CASH_OUT,6012.481978611852,67609.72920448263,61597.24722587078,5647059,0
CASH_IN,7894.6113987836125,56661.16870134095,64555.78010012456,,0
PAYMENT,6136.206410257292,43694.43625095712,49830.64266121441,,0
CASH_IN,2900.6890021801178,54630.37544092923,57531.064443109346,,0
CASH_IN,7725.125705424904,76300.96119048403,84026.08689590893,,0
DEBIT,8281.229126976574,38607.39846907245,30326.169342095873,,0
DEBIT,11304.11346902417,58053.13963294322,46749.02616391904,,0
DEBIT,2753.011933520804,48590.79319068008,45837.78125715927,,0
CASH_OUT,5485.76402630055,58539.673677242,53053.909650941445,1239039,0
PAYMENT,835.8025936220256,36908.70116808539,37744.50376170741,,0
PAYMENT,6106.298312758418,52206.70866318751,58313.00697594593,,0
PAYMENT,3903.5994036664547,72156.46564833602,76060.06505200246,,0
PAYMENT,8846.891589649906,31259.860375077853,40106.75196472776,,1
DEBIT,3450.770059962836,23411.897933498363,19961.127873535526,,0
CASH_OUT,1621.6339240654765,24170.888710260715,22549.254786195237,7964893,0
CASH_OUT,4057.472518594961,26586.74939599622,22529.27687740126,5641316,0
DEBIT,1049.0244575657252,61906.465757853286,60857.44130028756,,0
CASH_OUT,6502.19890901462,21882.80628269069,15380.60737367607,1003961,1
DEBIT,869.8339074873593,44042.09310512939,43172.25919764203,,0
PAYMENT,5056.915162366317,62365.78606621416,67422.70122858048,,0
DEBIT,844.3763602876061,58333.181210971874,57488.80485068427,,0
PAYMENT,4359.404390926717,42288.82040075029,46648.224791677014,,0
PAYMENT,8286.756311609068,53818.47463510212,62105.230946711185,,0
CASH_IN,5721.29578287159,52142.906594751366,57864.202377622954,,0
DEBIT,3273.012790070132,45515.18088903627,42242.16809896614,,0
CASH_IN,4937.593022121832,45783.3056269084,50720.89864903023,,0
DEBIT,5036.033744088893,94708.54869513921,89672.51495105031,,0
DEBIT,5945.260691686812,66186.21807862601,60240.957386939204,,0
CASH_IN,2266.2832734383474,99613.01835024286,101879.3016236812,,0
CASH_IN,6185.134547694661,40060.73734158997,46245.87188928463,,0
DEBIT,0.0,48300.668062237055,48300.668062237055,,0
CASH_OUT,3740.2308952723793,23357.484694467053,19617.253799194674,9694851,0
PAYMENT,4023.4523150969108,33808.663958208555,37832.116273305466,,0
CASH_IN,6266.653652142477,88038.26297325002,94304.91662539249,,0
PAYMENT,5045.261705353738,39559.314203164875,44604.575908518615,,0
CASH_OUT,2188.8738922874268,88385.62600288918,86196.75211060175,7609892,0
CASH_OUT,3030.0137483659696,25132.75478640219,22102.74103803622,5687862,0
CASH_OUT,5397.360019094814,28930.619318534464,23533.25929943965,5007856,0
CASH_IN,4841.865316270887,43175.37557953158,48017.24089580247,,0
CASH_OUT,3841.751780728507,48725.001566416446,44883.24978568794,1064590,0
CASH_IN,4038.3324209760412,68461.74584900259,72500.07826997864,,0
CASH_OUT,6392.335994318578,59015.40834372532,52623.07234940674,9940910,0
PAYMENT,3964.6148542615706,41673.69485311944,45638.30970738101,,0
PAYMENT,4823.817511941854,47333.683869637876,52157.50138157973,,0
DEBIT,9339.873176161085,43618.741604306,34278.86842814492,,0
PAYMENT,2152.6347262321538,31706.925293485405,33859.56001971756,,0
DEBIT,1296.3145368506825,32240.74126796757,30944.426731116888,,0
PAYMENT,6567.179329597213,70557.6778286682,77124.85715826541,,1
CASH_IN,3642.7138774117934,13436.701441457204,17079.415318868996,,0
PAYMENT,4363.524944514759,82347.1739489011,86710.69889341586,,0
DEBIT,3437.6872437377715,43140.11548795536,39702.42824421759,,0
DEBIT,4480.399718464975,34549.8278721568,30069.428153691824,,0
CASH_OUT,8197.076224192682,64795.18581394538,56598.1095897527,1053583,0
CASH_IN,6604.256917236238,79704.33168294234,86308.58860017858,,0
PAYMENT,6724.447023773954,72352.64883207914,79077.0958558531,,0
